Peoria_Illinois;238;114265;48
Perris_California;2432;76331;31
Perth Amboy_New Jersey;1117;52499;5
Petaluma_California;4209;6053;14
Pflugerville_Texas;2654;59245;22
Pharr_Texas;3301;7732;23
Philadelphia_Pennsylvania;11692;1567872;134
Phoenix_Arizona;3126;1615017;517
Pico Rivera_California;7667;63635;8
Pinellas Park_Florida;3362;52137;16
Pittsburg_California;4104;70679;17
Pittsburgh_Pennsylvania;5484;303625;55
Placentia_California;7949;52228;7
Plainfield_New Jersey;8411;50636;6
Plano_Texas;3996;286057;72
Plantation_Florida;4264;92706;22
Pleasanton_California;3412;8227;24
Plymouth_Minnesota;2363;77216;33
Pocatello_Idaho;1699;54746;32
Pomona_California;6645;152494;23
Pompano Beach_Florida;4558;109393;24
Pontiac_Michigan;2989;59698;20
Port Arthur_Texas;721;55427;77
Port Orange_Florida;2292;61105;27
Port St. Lucie_Florida;1625;185132;114
Porterville_California;3349;58978;18
Portland_Maine;3141;66937;21
Portland_Oregon;4795;639863;133
Portsmouth_Virginia;2831;95252;34
Poway_California;1281;50077;39
Providence_Rhode Island;974;179219;18
Provo_Utah;2805;116868;42
Pueblo_Colorado;2056;110291;54
Quincy_Massachusetts;5654;93688;17
Racine_Wisconsin;5011;77571;15
Raleigh_North Carolina;3211;45888;143
Rancho Cordova_California;2158;72326;34
Rancho Cucamonga_California;443;176534;40
Rapid City_South Dakota;1336;74048;55
Reading_Pennsylvania;8864;87575;10
Redding_California;1539;91808;60
Redlands_California;1973;71288;36
Redmond_Washington;3836;62458;16
Redondo Beach_California;10946;67867;6
Redwood City_California;4374;8495;19
Reno_Nevada;2381;245255;103
Renton_Washington;4366;100953;23
Revere_Massachusetts;9342;53157;6
Rialto_California;4623;103314;22
Richardson_Texas;3969;113347;29
Richland_Washington;1539;54989;36
Richmond_California;3652;109813;30
Richmond_Virginia;3731;22317;60
Rio Rancho_New Mexico;929;96028;103
Riverside_California;4002;324722;81
Roanoke_Virginia;2342;9966;43
Rochester Hills_Michigan;2237;73422;33
Rochester_Minnesota;2088;114011;55
Rochester_New York;5838;20888;36
Rock Hill_South Carolina;2042;72937;36
Rockford_Illinois;2417;147651;61
Rocklin_California;3213;62787;20
Rockville_Maryland;4955;6694;14
Rocky Mount_North Carolina;1267;55466;44
Rogers_Arkansas;1714;65021;38
Rosemead_California;10562;545;5
Roseville_California;3663;132671;36
Roswell_Georgia;2323;94598;41
Round Rock_Texas;3544;120892;34
Rowlett_Texas;3117;61999;20
Royal Oak_Michigan;5009;59006;12
Sacramento_California;5058;495234;98
Salem_Oregon;3495;167419;48
Salinas_California;6782;157218;23
Salt Lake City_Utah;1744;193744;111
Sammamish_Washington;35;63773;18
San Angelo_Texas;1771;100702;57
San Antonio_Texas;3238;1492510;461
San Bernardino_California;3653;216239;59
San Buenaventura_California;5062;109592;22
San Clemente_California;3491;65309;19
San Diego_California;4326;1406630;325
San Francisco_California;18581;870887;47
San Jose_California;5808;1025350;177
San Leandro_California;6781;90465;13
San Marcos_California;3909;95261;24
San Marcos_Texas;2051;6198;30
San Mateo_California;857;103959;12
San Rafael_California;3579;58954;16
San Ramon_California;4188;75639;18
Sandy Springs_Georgia;2808;105703;38
Sandy_Utah;419;95836;23
Sanford_Florida;2552;58605;23
Santa Ana_California;12256;334217;27
Santa Barbara_California;4722;9193;19
Santa Clara_California;6841;125948;18
Santa Clarita_California;3452;181972;53
Santa Cruz_California;506;64465;13
Santa Fe_New Mexico;1824;83875;46
Santa Maria_California;467;10629;23
Santa Monica_California;10996;92478;8
Santa Rosa_California;4242;175155;41
Santee_California;3561;57834;16
Sarasota_Florida;3862;5661;15
Savannah_Georgia;1423;146763;103
Schaumburg_Illinois;3873;74446;19
Schenectady_New York;6022;64913;11
Scottsdale_Arizona;1341;246645;184
Scranton_Pennsylvania;3054;77291;25
Seattle_Washington;8391;704352;84
Shawnee_Kansas;1558;65194;42
Shoreline_Washington;4741;55333;12
Shreveport_Louisiana;185;19492;105
Simi Valley_California;3045;126327;41
Sioux City_Iowa;1445;82872;57
Sioux Falls_South Dakota;239;17436;73
Skokie_Illinois;6389;6427;10
Smyrna_Georgia;3691;56664;15
Somerville_Massachusetts;19738;81322;4
South Bend_Indiana;2454;101735;41
South Gate_California;13196;95538;7
South Jordan_Utah;3131;69034;22
South San Francisco_California;7328;6698;9
Southaven_Mississippi;129;53214;41
Southfield_Michigan;2783;731;26
Sparks_Nevada;275;98345;36
Spokane Valley_Washington;2551;9634;38
Spokane_Washington;3645;215973;59
Springdale_Arkansas;1879;78557;42
Springfield_Illinois;1945;115715;59
Springfield_Massachusetts;4834;154074;32
Springfield_Missouri;2047;167319;82
Springfield_Ohio;2336;59087;25
Springfield_Oregon;3932;61893;16
St. Charles_Missouri;293;69293;24
St. Clair Shores_Michigan;5144;59775;12
St. Cloud_Minnesota;1689;67641;40
St. George_Utah;1169;82318;70
St. Joseph_Missouri;1738;76472;44
St. Louis_Missouri;503;311404;62
St. Paul_Minnesota;5818;302398;52
St. Peters_Missouri;2561;57289;22
St. Petersburg_Florida;4227;260999;62
Stamford_Connecticut;343;129113;38
Sterling Heights_Michigan;3628;132427;37
Stockton_California;4979;307072;62
Suffolk_Virginia;223;89273;400
Sugar Land_Texas;2723;88177;32
