"STATEFP10,C,2","COUNTYFP10,C,3","TRACTCE10,C,6","BLOCKCE10,C,4","GEOID10,C,15","NAME10,C,10","MTFCC10,C,5","UR10,C,1","UACE10,C,5","UATYP10,C,1","FUNCSTAT10,C,1","ALAND10,N,14,0","AWATER10,N,14,0","INTPTLAT10,C,11","INTPTLON10,C,12"
32,003,007800,1109,320030078001109,Block 1109,G5040,R,,,S,1700,0,+36.2822048,-115.0246004
32,003,005422,1006,320030054221006,Block 1006,G5040,U,47995,U,S,32604,0,+36.0365732,-114.9687379
32,003,001609,2000,320030016092000,Block 2000,G5040,U,47995,U,S,37336,0,+36.1540324,-115.0832390
32,003,005826,1000,320030058261000,Block 1000,G5040,U,47995,U,S,60057,0,+36.1215648,-115.2899832
32,003,004923,1000,320030049231000,Block 1000,G5040,U,47995,U,S,9784,0,+36.1588995,-115.0292306
32,003,003628,1103,320030036281103,Block 1103,G5040,R,,,S,7448,0,+36.2709262,-115.0573235
32,003,001100,1019,320030011001019,Block 1019,G5040,U,47995,U,S,23877,0,+36.1529803,-115.1579628
32,003,004923,1001,320030049231001,Block 1001,G5040,U,47995,U,S,66261,0,+36.1579687,-115.0305551
32,003,003429,4005,320030034294005,Block 4005,G5040,U,47995,U,S,12109,0,+36.1932723,-115.1965110
32,003,003634,1001,320030036341001,Block 1001,G5040,U,47995,U,S,20141,0,+36.2516523,-115.1721855
32,003,005613,4291,320030056134291,Block 4291,G5040,R,,,S,4210,0,+36.0353865,-114.7997734
32,003,002837,1006,320030028371006,Block 1006,G5040,U,47995,U,S,4308,0,+36.0557196,-115.1805262
32,003,001801,2000,320030018012000,Block 2000,G5040,U,47995,U,S,9703,0,+36.1406405,-115.0973890
32,003,005432,3016,320030054323016,Block 3016,G5040,U,47995,U,S,15140,0,+36.0155310,-114.9470393
32,003,003230,3001,320030032303001,Block 3001,G5040,U,47995,U,S,2937,0,+36.3060212,-115.3316112
32,003,001401,2011,320030014012011,Block 2011,G5040,U,47995,U,S,13205,0,+36.1534073,-115.1243409
32,003,003319,1005,320030033191005,Block 1005,G5040,U,47995,U,S,11682,0,+36.3066107,-115.2679291
32,003,003240,2012,320030032402012,Block 2012,G5040,U,47995,U,S,5449,0,+36.2288383,-115.3074252
32,003,003004,1004,320030030041004,Block 1004,G5040,U,47995,U,S,17133,0,+36.1769899,-115.2554582
32,003,004716,2003,320030047162003,Block 2003,G5040,U,47995,U,S,23183,0,+36.2315276,-115.0830691
32,003,002957,2000,320030029572000,Block 2000,G5040,U,47995,U,S,728659,0,+36.0960907,-115.2489271
32,003,002847,1030,320030028471030,Block 1030,G5040,U,47995,U,S,220264,0,+36.0611115,-115.1428120
32,003,002975,1002,320030029751002,Block 1002,G5040,U,47995,U,S,12297,0,+36.0841658,-115.2461858
32,003,005434,2029,320030054342029,Block 2029,G5040,U,47995,U,S,607763,0,+36.0309998,-114.9451567
32,003,003318,1018,320030033181018,Block 1018,G5040,U,47995,U,S,7405,0,+36.3051472,-115.2736460
32,003,005902,1612,320030059021612,Block 1612,G5040,R,,,S,73450,0,+36.6649454,-114.5678304
32,003,005347,2006,320030053472006,Block 2006,G5040,U,47995,U,S,15586,0,+35.9849937,-115.1258065
32,003,003800,1008,320030038001008,Block 1008,G5040,U,47995,U,S,11569,0,+36.1988118,-115.1353344
32,003,005422,1005,320030054221005,Block 1005,G5040,U,47995,U,S,372863,0,+36.0380498,-114.9762880
32,003,005703,2564,320030057032564,Block 2564,G5040,R,,,S,1527333,0,+35.4879305,-115.1911009
32,003,005359,2012,320030053592012,Block 2012,G5040,U,47995,U,S,399343,0,+35.9885533,-114.9720102
32,003,003635,3003,320030036353003,Block 3003,G5040,U,47995,U,S,14726,0,+36.2698618,-115.1645175
32,003,003800,1015,320030038001015,Block 1015,G5040,U,47995,U,S,5509,0,+36.1963307,-115.1379036
32,003,005713,1007,320030057131007,Block 1007,G5040,U,47995,U,S,9052,0,+35.9314705,-115.0927701
32,003,005904,1005,320030059041005,Block 1005,G5040,R,,,S,55355,0,+36.8314663,-114.1145826
32,003,007500,1201,320030075001201,Block 1201,G5040,R,,,S,35799,0,+36.3257735,-115.3502955
32,003,000516,4011,320030005164011,Block 4011,G5040,U,47995,U,S,13115,0,+36.1689154,-115.0948364
32,003,005613,4049,320030056134049,Block 4049,G5040,R,,,S,1082642,0,+36.4802428,-114.4615170
32,003,005322,2006,320030053222006,Block 2006,G5040,U,47995,U,S,884,0,+36.0132427,-115.1084403
32,003,003311,1017,320030033111017,Block 1017,G5040,U,47995,U,S,24001,0,+36.3007825,-115.2093986
32,003,005104,2010,320030051042010,Block 2010,G5040,U,47995,U,S,69717,0,+36.0579946,-115.0615342
32,003,007500,1183,320030075001183,Block 1183,G5040,R,,,S,19372,0,+36.3632140,-115.3517056
32,003,003006,2002,320030030062002,Block 2002,G5040,U,47995,U,S,27280,0,+36.1657701,-115.2528601
32,003,005842,1003,320030058421003,Block 1003,G5040,U,47995,U,S,685,0,+36.1147693,-115.3514887
32,003,003230,5001,320030032305001,Block 5001,G5040,U,47995,U,S,15671,0,+36.3039260,-115.3025258
32,003,005902,1432,320030059021432,Block 1432,G5040,R,,,S,84876,0,+36.3131643,-114.9513075
32,003,003415,5004,320030034155004,Block 5004,G5040,U,47995,U,S,13460,0,+36.2097936,-115.2280310
32,003,005703,2273,320030057032273,Block 2273,G5040,R,,,S,8499,0,+35.7702748,-114.9031832
32,003,005433,2030,320030054332030,Block 2030,G5040,U,47995,U,S,20027,0,+36.0059720,-114.9264432
