"BLOCKCE,C,4","BLOCKID10,C,15","POP10,N,9,0"
1073,320019505001073,2
1080,320019501001080,0
2098,320019505002098,0
1252,320019501001252,0
3083,320019507003083,0
3098,320019507003098,0
3089,320019507003089,0
3046,320019507003046,0
1069,320019507001069,0
3238,320019507003238,0
1105,320019507001105,0
1144,320019507001144,0
3232,320019507003232,0
3151,320019507003151,0
3143,320019507003143,0
3010,320019507003010,0
3003,320019503023003,41
1029,320019503021029,0
1163,320019501001163,0
1145,320019501001145,0
1310,320019501001310,0
1289,320019501001289,0
3188,320019507003188,10
3133,320019507003133,0
3185,320019507003185,0
3192,320019507003192,0
1092,320019507001092,0
1090,320019507001090,0
1079,320019507001079,0
1070,320019507001070,0
1035,320019503021035,2
1112,320019507001112,0
1041,320019507001041,0
1050,320019507001050,0
1156,320019507001156,0
1186,320019507001186,0
3002,320019506003002,70
1127,320019506001127,0
2033,320019503012033,0
1172,320019507001172,0
2106,320019501002106,0
1303,320019501001303,0
3126,320019507003126,0
3102,320019507003102,0
3125,320019507003125,0
3247,320019507003247,0
1064,320019507001064,1
1100,320019507001100,0
1176,320019507001176,0
1322,320019507001322,0
1319,320019507001319,0
1169,320019507001169,0
3206,320019507003206,0
1327,320019507001327,0
3022,320019503023022,40
1550,320019501001550,0
3041,320019506003041,109
1258,320019501001258,0
2001,320019501002001,0
1015,320019506001015,0
1258,320019506001258,0
1268,320019506001268,0
3069,320019503013069,0
2096,320019505002096,0
1039,320019503011039,21
2048,320019503012048,0
2046,320019503012046,0
5028,320019503025028,0
1002,320019503011002,6
2051,320019503012051,0
1019,320019504001019,0
5023,320019503025023,0
4025,320019503024025,11
4020,320019507004020,7
1120,320019501001120,0
1243,320019501001243,0
1361,320019501001361,0
1366,320019501001366,0
1311,320019507001311,0
1313,320019507001313,0
1154,320019506001154,0
3056,320019507003056,0
1480,320019501001480,0
1356,320019501001356,0
1042,320019504001042,0
1079,320019503021079,0
1229,320019507001229,6
4000,320019507004000,0
2014,320019506002014,24
1078,320019505001078,0
2107,320019505002107,0
2042,320019507002042,40
1017,320019507001017,3
2046,320019506002046,42
4021,320019507004021,27
4030,320019507004030,159
3021,320019503023021,41
2008,320019507002008,87
3034,320019503023034,0
1234,320019506001234,10
3077,320019503013077,0
2006,320019506002006,199
1012,320019506001012,0
1011,320019506001011,0
1074,320019506001074,0
1045,320019501001045,0
1074,320019501001074,0
1027,320019501001027,0
1040,320019501001040,0
3035,320019507003035,0
1023,320019507001023,0
1197,320019507001197,0
1039,320019507001039,0
1189,320019507001189,0
1388,320019507001388,0
1055,320019507001055,0
1198,320019507001198,0
3029,320019507003029,0
3167,320019507003167,0
3217,320019507003217,134
1346,320019507001346,0
2053,320019501002053,49
1308,320019507001308,22
1267,320019507001267,0
2105,320019501002105,0
2101,320019501002101,0
1300,320019507001300,0
1342,320019507001342,0
2062,320019501002062,0
2154,320019501002154,0
2161,320019501002161,0
2060,320019501002060,0
2218,320019501002218,0
2146,320019501002146,0
4026,320019507004026,59
3020,320019503023020,62
1529,320019501001529,0
1001,320019504001001,0
1079,320019506001079,0
1103,320019506001103,0
1104,320019506001104,0
1092,320019506001092,0
1039,320019501001039,0
1030,320019501001030,0
1112,320019506001112,0
1146,320019506001146,0
3031,320019506003031,14
2031,320019506002031,42
3014,320019503023014,56
3017,320019506003017,2
2077,320019505002077,0
2076,320019505002076,4
5032,320019503025032,12
5017,320019503025017,4
2039,320019503012039,41
1011,320019503011011,2
1014,320019503011014,3
2150,320019501002150,0
2132,320019501002132,0
2155,320019501002155,0
2183,320019501002183,0
2182,320019501002182,0
2171,320019501002171,0
1687,320019501001687,0
2169,320019501002169,0
1681,320019501001681,0
1413,320019501001413,0
1023,320019506001023,0
1764,320019501001764,0
1765,320019501001765,0
1167,320019501001167,0
1339,320019501001339,0
1110,320019501001110,0
1107,320019501001107,0
1259,320019506001259,0
2023,320019505002023,0
2022,320019505002022,0
2125,320019505002125,0
2005,320019505002005,0
2003,320019505002003,0
2014,320019505002014,0
2016,320019505002016,0
2000,320019505002000,0
1061,320019501001061,0
1854,320019501001854,0
1065,320019501001065,0
1861,320019501001861,0
1461,320019501001461,0
4050,320019507004050,62
4047,320019507004047,67
2021,320019503022021,9
4010,320019503024010,12
1021,320019503011021,23
2035,320019503022035,17
1040,320019503011040,20
1042,320019503011042,39
4042,320019503024042,0
1703,320019501001703,0
1712,320019501001712,0
1399,320019501001399,0
1404,320019501001404,0
1727,320019501001727,0
1400,320019501001400,0
1403,320019501001403,0
1398,320019507001398,1
2026,320019501002026,39
1004,320019507001004,1
1209,320019507001209,0
1263,320019507001263,18
1276,320019507001276,48
2059,320019506002059,26
2074,320019505002074,8
2010,320019503012010,0
1243,320019507001243,0
2196,320019501002196,0
2210,320019501002210,0
2194,320019501002194,0
2215,320019501002215,0
2199,320019501002199,0
1354,320019507001354,0
1384,320019501001384,0
1158,320019501001158,0
1202,320019506001202,0
